schedule,compute_fraction,metric,stratum,n_prompt_evals,reward_fraction,mean_selected_reward,mean_full_bon8_reward,winner_match,top2_all_retention,top2_any_retention,top4_all_retention,top4_any_retention,false_negative_top1_prompt_rate,false_negative_top2_candidate_rate,mean_regret,median_regret
full_bon8,1.0,common_robust_lcb,all,512,1.0,2.3576329063758386,2.3576329063758386,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,all,512,0.9818568158904715,2.314857938492779,2.3576329063758386,0.482421875,0.220703125,0.775390625,0.017578125,0.984375,0.517578125,0.501953125,0.04277496788305997,0.0027718154565379294
bon4_random_subset,0.5,common_robust_lcb,all,51200,0.9823035873972874,2.3159112616988793,2.3576329063758386,0.4986328125,0.2131640625,0.78849609375,0.01337890625,0.98609375,0.5013671875,0.499169921875,0.041721644676959393,0.00011613891093720241
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,all,512,0.9863736609527787,2.3255070010446754,2.3576329063758386,0.5703125,0.21484375,0.787109375,0.0,0.9609375,0.4296875,0.4990234375,0.0321259053311633,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,all,512,0.9912911892697042,2.337100727622694,2.3576329063758386,0.66796875,0.28515625,0.859375,0.0,0.978515625,0.33203125,0.427734375,0.020532178753144732,0.0
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,all,512,0.9987062689063722,2.3545827633775,2.3576329063758386,0.943359375,0.83984375,0.9921875,0.56640625,1.0,0.056640625,0.083984375,0.0030501429983388678,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,all,512,0.9987062689063722,2.3545827633775,2.3576329063758386,0.943359375,0.83984375,0.9921875,0.56640625,1.0,0.056640625,0.083984375,0.0030501429983388678,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,all,512,0.9997508271003919,2.3570454481483454,2.3576329063758386,0.98046875,0.921875,1.0,0.736328125,1.0,0.01953125,0.0390625,0.0005874582274935465,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,all,51200,0.9571177312960972,2.2565322585794667,2.3576329063758386,0.2528515625,0.03513671875,0.4633203125,0.0,0.7840625,0.7471484375,0.750771484375,0.10110064779637208,0.07019844399011665
full_bon8,1.0,common_robust_lcb,vocal,316,1.0,2.299402839406575,2.299402839406575,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,vocal,316,0.9820234074742147,2.2580674115099293,2.299402839406575,0.49050632911392406,0.21835443037974683,0.7753164556962026,0.015822784810126583,0.9841772151898734,0.509493670886076,0.5031645569620253,0.04133542789664593,0.0006072014258251546
bon4_random_subset,0.5,common_robust_lcb,vocal,31600,0.9828687382482201,2.260011167491915,2.299402839406575,0.5043037974683544,0.21639240506329113,0.785126582278481,0.014462025316455697,0.9863607594936709,0.4956962025316456,0.49924050632911393,0.039391671914660135,0.0
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,vocal,316,0.9874294117961468,2.2704979931976244,2.299402839406575,0.569620253164557,0.21835443037974683,0.8069620253164557,0.0,0.9778481012658228,0.43037974683544306,0.4873417721518987,0.028904846208950726,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,vocal,316,0.9920347406578314,2.281087499458583,2.299402839406575,0.6772151898734177,0.30063291139240506,0.8860759493670886,0.0,0.9873417721518988,0.3227848101265823,0.40664556962025317,0.018315339947992237,0.0
